week_start,number,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,shortwave_radiation_sum
2014-01-05,436,27.52,24.119999999999997,15.5,15.24,14.884
2014-01-12,479,27.87142857142857,23.82857142857143,40.8,13.442857142857141,17.071428571428573
2014-01-19,401,27.3,23.885714285714283,5.8999999999999995,20.642857142857142,17.952857142857145
2014-01-26,336,27.142857142857142,23.214285714285715,1.5,19.12857142857143,19.302857142857142
2014-02-02,234,28.271428571428572,22.82857142857143,0.7,19.042857142857144,22.34857142857143
2014-02-09,273,29.614285714285717,23.414285714285715,3.0999999999999996,13.814285714285715,21.327142857142857
2014-02-16,369,29.914285714285715,24.557142857142857,8.3,15.828571428571427,21.31714285714286
2014-02-23,193,29.87142857142857,24.385714285714283,2.1,18.314285714285713,22.14428571428571
2014-03-02,186,30.442857142857143,24.157142857142855,0.7,17.02857142857143,23.777142857142856
2014-03-09,209,31.12857142857143,24.314285714285713,3.6,14.557142857142859,24.482857142857142
2014-03-16,224,30.75714285714286,24.685714285714287,17.599999999999998,16.52857142857143,22.72714285714286
2014-03-23,210,28.942857142857143,24.614285714285717,59.199999999999996,11.671428571428573,18.195714285714285
2014-03-30,225,30.0,24.914285714285715,17.7,12.214285714285714,21.714285714285715
2014-04-06,240,29.37142857142857,25.12857142857143,44.800000000000004,10.414285714285715,18.27
2014-04-13,244,29.82857142857143,25.014285714285712,24.4,8.6,20.54714285714286
2014-04-20,235,29.24285714285714,25.071428571428573,32.2,8.8,19.47
2014-04-27,282,29.8,25.228571428571428,82.4,8.442857142857143,18.842857142857145
2014-05-04,251,29.385714285714283,25.157142857142855,51.199999999999996,10.614285714285714,18.014285714285712
2014-05-11,261,29.3,25.714285714285715,70.8,9.042857142857143,17.928571428571427
2014-05-18,291,28.75714285714286,25.47142857142857,71.30000000000001,11.314285714285715,15.59142857142857
2014-05-25,427,28.900000000000002,25.485714285714288,44.6,9.828571428571427,15.51142857142857
2014-06-01,456,28.785714285714285,25.5,98.2,10.942857142857141,16.8
2014-06-08,458,28.685714285714287,25.585714285714285,67.5,13.485714285714284,14.984285714285715
2014-06-15,506,29.7,26.2,52.8,12.1,16.01
2014-06-22,550,29.942857142857143,26.9,13.700000000000001,12.271428571428572,18.024285714285714
2014-06-29,671,29.599999999999998,26.057142857142857,19.2,12.242857142857144,18.737142857142857
2014-07-06,888,28.585714285714285,25.185714285714287,50.2,12.557142857142859,16.68857142857143
2014-07-13,818,28.62857142857143,25.12857142857143,64.8,12.585714285714285,15.507142857142856
2014-07-20,744,29.185714285714287,26.271428571428572,19.4,12.257142857142856,19.042857142857144
2014-07-27,633,29.571428571428573,26.542857142857144,12.5,14.457142857142857,20.32
2014-08-03,484,28.228571428571428,25.342857142857145,53.6,12.700000000000001,15.997142857142856
2014-08-10,545,28.099999999999998,25.02857142857143,52.1,13.857142857142858,15.574285714285713
2014-08-17,438,27.414285714285715,24.62857142857143,68.5,11.700000000000001,15.252857142857144
2014-08-24,418,27.74285714285714,24.62857142857143,65.4,13.442857142857141,17.431428571428572
2014-08-31,367,28.0,24.685714285714287,51.2,13.228571428571428,17.24142857142857
2014-09-07,339,28.785714285714285,25.17142857142857,10.3,11.828571428571427,18.881428571428568
2014-09-14,362,28.642857142857142,25.342857142857145,21.2,12.62857142857143,20.167142857142856
2014-09-21,396,29.214285714285715,25.571428571428573,21.5,13.642857142857142,19.90142857142857
2014-09-28,344,28.928571428571427,25.014285714285712,31.3,13.0,19.78142857142857
2014-10-05,339,29.071428571428573,25.142857142857142,26.0,12.542857142857143,20.607142857142858
2014-10-12,278,29.557142857142857,25.728571428571428,12.4,11.842857142857143,21.415714285714284
2014-10-19,297,28.82857142857143,25.014285714285712,46.2,11.171428571428573,18.66
2014-10-26,213,28.485714285714288,24.5,53.5,10.228571428571428,18.314285714285713
2014-11-02,186,29.014285714285712,24.685714285714287,42.9,10.028571428571428,20.384285714285713
2014-11-09,168,28.885714285714283,24.714285714285715,81.2,10.857142857142858,18.75714285714286
2014-11-16,158,27.17142857142857,24.32857142857143,94.60000000000001,10.114285714285714,11.844285714285714
2014-11-23,149,27.957142857142856,24.17142857142857,101.6,9.271428571428572,14.41
2014-11-30,162,28.37142857142857,24.400000000000002,87.3,9.799999999999999,15.895714285714288
2014-12-07,212,28.271428571428572,24.8,67.1,10.028571428571428,15.081428571428571
2014-12-14,177,28.957142857142856,24.7,25.9,12.942857142857141,17.791428571428572
2014-12-21,198,28.057142857142857,24.457142857142856,84.69999999999999,13.200000000000001,13.834285714285715
2014-12-28,188,26.814285714285713,23.957142857142856,219.6,12.157142857142857,7.672857142857143
2015-01-04,158,27.142857142857142,23.97142857142857,91.1,18.557142857142857,13.51
2015-01-04,256,27.142857142857142,23.97142857142857,91.1,18.557142857142857,13.51
2015-01-11,228,27.82857142857143,23.857142857142858,171.3,13.928571428571429,14.608571428571429
2015-01-18,238,28.314285714285713,24.071428571428573,2.1999999999999997,20.185714285714287,20.685714285714287
2015-01-25,259,27.599999999999998,23.857142857142858,13.9,17.914285714285715,18.919999999999998
2015-02-01,212,28.37142857142857,24.042857142857144,11.2,17.942857142857143,19.84857142857143
2015-02-08,173,26.585714285714285,23.428571428571427,100.69999999999999,19.071428571428573,13.894285714285713
2015-02-15,98,27.7,23.414285714285715,2.0,19.32857142857143,21.09714285714286
2015-02-22,172,28.514285714285712,23.957142857142856,21.000000000000004,15.400000000000002,20.742857142857144
2015-03-01,189,29.32857142857143,24.52857142857143,6.7,13.942857142857141,22.514285714285712
2015-03-08,110,30.114285714285717,24.342857142857145,16.6,11.442857142857141,22.725714285714282
2015-03-15,91,28.87142857142857,24.557142857142857,30.4,14.685714285714285,19.314285714285713
2015-03-22,129,29.385714285714283,24.82857142857143,42.4,9.114285714285714,20.812857142857144
2015-03-29,90,28.885714285714283,25.0,37.0,13.442857142857141,18.631428571428568
