disease,n_points,mean,std,cv,min,max,median,peak_median_ratio,peak_mean_ratio,skewness,kurtosis,outbreak_threshold,outbreak_rate,diff_std,diff_mean_abs,acf_lag_1,acf_lag_2,acf_lag_3,acf_lag_4,f1_h1,f1_h4,f1_drop_h1_to_h4,f1_ratio_h4_to_h1,f1_decay_slope,f1_auc
flu,808,1.919609852722772,1.2367227468247348,0.6442573448300283,0.391549,7.402,1.56471,4.730589054840833,3.8559918774645863,1.610197726080619,5.738161473103812,3.5460370000000005,0.10024752475247525,0.3764523933609641,0.2368075464684015,0.9537170886606855,0.875664363348144,0.7895844932110683,0.7064598553639105,0.7777777777777778,0.3888888888888889,0.3888888888888889,0.5,-0.12839506172839502,1.7006172839506173
dengue,261,186.4214559386973,158.7065947910791,0.8513322352941395,24.0,888.0,157.0,5.656050955414012,4.763400197303519,1.5324421570318514,5.669993542278357,401.0,0.10344827586206896,43.91071211618685,29.115384615384617,0.9616975601543829,0.9250325117300489,0.8866225590891904,0.8429179183727452,0.875,0.7272727272727273,0.1477272727272727,0.8311688311688312,-0.04739510489510491,2.370367132867133
